"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Quezon City, Philippines",Philippines,Male,Secondary school student,"AWS Cloud Certification, LinkedIn Learning","IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City,"35,001 to 45,000",Full-time,Hybrid,Software Engineer,"Software Engineer, Developer",6 to 10,Python,"Pandas, None",,,,,,,,_,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Discord","Python, SQL","Chatgpt, Copilot, Gemini",none,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,Network,_,not applicable,"LinkedIn, Slack communities",_,34
"Manila, Philippines",Philippines,Prefer not to say,College degree,"Datacamp, W3Schools",Own Business/ Consultancy/Freelance,Professional,na,"Santa Maria, Bulacan, Philippines","65,001 to 75,000",Full-time,100% onsite,Data Analyst,Business Analyst,2 to 3,Google sheets,Google sheets,,"None, ",,,,,Google Cloud Platform (GCP),,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","SQL, VBA","Chatgpt, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,,Unemployed,30
"Taguig, Philippines",Philippines,Female,College degree,Not currently using any digital tools for learning,National Government Agency ,Student/ New grad/ Career Break, ,na,,none,none,na,/,. ,not applicable,. ,NONE,-,-,none,None,-, _,None,"Google sheets, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Python,"Chatgpt, Copilot, Perplexity",_,NONE,"No, I just found out now.",none,none,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition", , _,_,Local employer,33
Batangas,Philippines,Male,,Coursera,"IT, BPO, and Business Services",Student/ New grad/ Career Break,none,na,, _,None,None,_,-,_, _, ,/, ,na, _,/,none,na,"Google sheets, Excel, MS Teams",none,"Chatgpt, Gemini",None,laptop,"No, I just found out now.",none,Women Who Code Manila,NONE,"Answer surveys, Lead a study group, Volunteer for group initiatives",All ways are effective.,.,/,27
"Mandaluyong, Philippines",Philippines,Male,College degree,"Coursera, Datacamp, Udemy",,Student/ New grad/ Career Break,-,not applicable,,none,none,NONE, _,none,_, _,_,NONE,. ,., ,NONE, , _,"Google sheets, Excel, Google Drive, Trello, Zoom, Google Meet, Discord","Appscript (Google), SQL","Chatgpt, Claude, Gemini",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","DEVCON Community Group, DEVCON Philippines, PyData Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,., ,Self-employed ,25
"Angeles City, Pampanga Philippines",Philippines,Male,College degree,"Coursera, Datacamp","IT, BPO, and Business Services",Still in the process of career shifting,Work city same as residence,"Angeles City, Pampanga","15,001 to 25,000",Full-time,100% onsite,Academic,Developer,6 to 10,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",Don't know,"Google sheets, Excel, Google Drive, MS Teams, Google Meet, Slack, Discord","DAX (Power BI), Stata",Chatgpt,"Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, AWS AI/ML, Big Data Analytics PH, Data Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Power BI Philippines UG, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives, Volunteer to speak in events",for now none,"LinkedIn, Indeed",Local employer,33
"Cebu City, Philippines",Philippines,Male,College degree,Datacamp,"IT, BPO, and Business Services",Professional,Work city different from residence,Newcastle,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Analytics Engineer,"Management, Data Engineer, Analytics Engineer, Cloud Architect",none,Fivetran,dbt,Snowflake,Sql server agent,"Hex, Holistics","None, Not applicable ",dbt,Dataworld,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake",,"Google sheets, Google Drive, Zoom, Google Meet, Slack","DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Claude, Copilot, Gemini",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,Upskill / Skill acquisition,"Joint initiative with other groups, Resource for specific topic, Co-training/ Training",Regular polls. Perhaps raffles for better reach and support,My network  - people I know,Local employer,22
Municipality of Pateros,Philippines,Female,College degree,Youtube bootcamp,Not working,Student/ New grad/ Career Break,. ,none,,/,not applicable,.,_,na,-,_,. ,. ,None,none,. , , ,_,"Google sheets, Excel, Google Drive, Google Meet, Discord","DAX (Power BI), SQL","Chatgpt, Copilot",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Design Philippines, AIM-Master of Science in Data Science","Career advancement, Decision to shift","Answer surveys, Connect with sponsors, Coordinate during events, Volunteer to speak in events",,.,"local employer, au client",27
"Ligao City, Albay Philippines",Philippines,Male,College degree,Datacamp,LGU,Student/ New grad/ Career Break,None, ,,-,none,not applicable,na,/,None,Power query,not applicable,-,-,_,_,not applicable, ,na,"Google sheets, Excel, Google Drive, Trello, MS Teams, Google Meet","Python, SQL","Chatgpt, Claude, Gemini, Jasper AI",None,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Programmers,Developers, Project SPARTA","Career advancement, Decision to shift", ,,.,Multinational employer,32
Cagayan de Oro City,Philippines,Male,College degree,"Coursera, Datacamp",Manufacturing,Career shifter,Work city different from residence,San Juan City,"35,001 to 45,000",Full-time,100% onsite,Data Scientist,"Data Engineer, Data Analyst, Business Analyst",1 - Just me,"Aws, Salesforce and etc","Pandas, Dask",,,,"None, Not applicable ",Elementary,Just dbt-metabase + dbt docs for now,none,-,"Google sheets, Excel, Google Drive, OneDrive, Discord","Python, SQL","No, I do not use AI currently",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, FTW Foundation, SPARTA PH: Data Engineer","Decision to shift, Upskill / Skill acquisition","Answer surveys, Volunteer to speak in events",NONE,LinkedIn,Local employer,32
"Rizal, Philippines",Philippines,LGBTQ+,Other - specify,"AWS Cloud Certification, edX, MicrosoftLearn, O'Reilly Online Learning, Real Python, W3Schools",Government,Student/ New grad/ Career Break,/,. ,,/,/,/,NONE,NONE,.,None, ,na,none,NONE,-,-,na,not applicable,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet",Python,Chatgpt,"Amazon Sagemaker Studio, Amazon Sagemaker Studio Lab",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Data Analytics Philippines, Data Science Philippines Discussion Group (Moderated), DEVCON Community Group, DEVCON Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA, Python Philippines, R User Group - Philippines, Women Who Code Manila","Continued learning, Upskill / Skill acquisition, Network, Build confidence in Public Speaking","Answer surveys, Coordinate during events, Joint initiative with other groups",. ,.,Local employer,29
"Taguig, Philippines",Philippines,Female,Other - specify,Not currently using any digital tools for learning,Real estate development ,Professional,Work city different from residence,Taguig,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Business Analyst,"Data Analyst, Software Engineer, Product Advocate",30+,,,,,"Metabase, Looker, Power BI",Don't know,,"Datahub, Dataworld","Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake",,"Google sheets, Excel, Google Drive, OneDrive", _,Chatgpt,not applicable,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,Enjoyed,LinkedIn,N.A,38
"Caloocan, Philippines",Philippines,Female,College degree,"Coursera, Datacamp",Not working,Student/ New grad/ Career Break,/,not applicable,, _,None, _,-, _,NONE,.,-,na,na,_,-,NONE,none,none,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), DAX (Power BI)","Chatgpt, Copilot",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas, AWS AI/ML, Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), DevOps Philippines, DEVCON Community Group, DEVCON Philippines, FTW Foundation, Java User Group Philippines, Philippine Data Platform Forums, Philippine Data Scientists Community - eScience, PizzaPy - Cebu Python Users Group","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Regularly post content",none,na,Local employer,28
"Taguig, Philippines",Philippines,Male,College degree,Datacamp,Not working,Student/ New grad/ Career Break, _,None,,na,not applicable,_,/,.,none,. ,not applicable, _,. ,none,/,/,NONE,.,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet","DAX (Power BI), VBA",Chatgpt,na,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition",Co-training/ Training, ,NONE,Multinational employer,24
"Cavite, Philippines",Philippines,Male,College degree,Datacamp,Banking / Finance / Insurance,Upskiller,Work city same as residence,"Ayala, Makati","65,001 to 75,000",Full-time,100% onsite,Software Engineer,"Software Engineer, Developer",11 to 30,Don't know,Don't know,"AWS Redshift, Don't know",Just airbyte,,,,,Don't know,"Apache Kafka, MongoDB, Oracle Database","Excel, Trello","DAX (Power BI), SQL",Chatgpt,na,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",/,Continued learning,"Answer surveys, Connect with sponsors, Joint initiative with other groups, Lead a study group, Mentor, Co-training/ Training, Volunteer for group initiatives",Hold quarterly or annual data/tech webinar fest,"LinkedIn, Indeed, Glassdoor",Local employer,24
"Alexandria, Egypt",Egypt,Male,College degree,"Datacamp, Freecodecamp, W3Schools",Banking / Finance / Insurance,Freelance,. ,Alexandria,"25,001 to 35,000",Internship,"Hybrid - Priority at Home, but would come to site if needed",Data Analyst,"Data Engineer, Data Analyst, Data Scientist",6 to 10,,Pandas,,, _,not applicable,.,Atlan,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake",.,Excel,Python,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Java User Group Philippines, Power BI Users Meetup, Python Philippines, R User Group - Philippines","Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"identify relevant problems at each stages of professional journey and drive discussions, projects, events, content around it",My network  - people I know,/,23
"Pasig, Philippines",Philippines,Female,Secondary school student,"Cisco, Datacamp, Freecodecamp",Banking / Finance / Insurance,Career shifter,Work city different from residence,Previous job - BGC,,Full-time,Hybrid,Data Analyst,"Data Engineer, Data Analyst, Business Analyst, Analytics Engineer",not applicable,Don't know,Don't know,Don't know,MS fabric,Power BI,,,Don't know,Don't know,Don't know,"Excel, Google Drive, OneDrive, MS Teams","Python, SQL","Chatgpt, Blackbox",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, SPARTA PH: Data Engineer",Not a member. Not interested to join thr FB group,"Answer surveys, Joint initiative with other groups, Resource for specific topic, Volunteer for group initiatives",None at the moment,"LinkedIn, Indeed", ,22
"Taguig, Philippines",Philippines,Male,College degree,"LinkedIn Learning, Udemy, W3Schools",Banking / Finance / Insurance,Career shifter,Work city different from residence,Taguig City,"25,001 to 35,000",Full-time,Hybrid,Developer,"Data Engineer, Cloud Architect, Developer",6 to 10,na,_,"Databricks, Big Query, Snowflake",Amazon ec2,Power BI,Don't know,Don't know,Don't know,Don't know,Oracle Database,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Discord",Python,"Chatgpt, Gemini",,laptop,"No, I just found out now.", _,,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",. ,"LinkedIn, My network  - people I know",Multinational employer,25
"San Juan City, Philippines ",Philippines,LGBTQ+,College degree,"Coursera, Datacamp, Freecodecamp, Google Analytics, LinkedIn Learning, MicrosoftLearn",Not working,Student/ New grad/ Career Break,NONE,not applicable,, , _, _,_,not applicable,na,not applicable,-,none, ,_,.,NONE,None,not applicable,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",DAX (Power BI),"Chatgpt, Copilot, Gemini",/,desktop,"No, I just found out now.","Yes, I have used at least one resource.","Data Analytics Philippines, Project SPARTA",Just curious ,"Answer surveys, Volunteer for group initiatives",.,.,Multinational employer,34
"Rizal, Philippines ",Philippines,Female,College degree,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Ortigas,"15,001 to 25,000",Full-time,Hybrid,Data Engineer,"Management, Data Engineer, Data Analyst",6 to 10,Don't know,Don't know,"Azure Synapse, AWS Redshift",ADF,Power BI,Don't know,Don't know,Don't know,Don't know,,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Discord",M language (Power Query),Chatgpt,.,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Data Science Philippines, FTW Foundation","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors",I don't have a suggestion at the moment.,JobStreet ,Multinational employer,28
